,Mean ROC AUC,Precision,Recall,F Beta Score,Support
XGBoost,0.6633875,[0.73085847 0.52631579],[0.97222222 0.07936508],[0.83443709 0.13793103],[324 126]
CatBoost,0.6679817307692307,[0.76470588 0.57627119],[0.92283951 0.26984127],[0.83636364 0.36756757],[324 126]
KNeighbors Classifier,0.5964499999999999,[0.74663073 0.40506329],[0.85493827 0.25396825],[0.7971223  0.31219512],[324 126]
RandomForest Classifier 100 trees,0.6503,[0.74473068 0.73913043],[0.98148148 0.13492063],[0.84687084 0.22818792],[324 126]
RandomForest Classifier 200 trees,0.6624634615384615,[0.74238876 0.69565217],[0.97839506 0.12698413],[0.84420772 0.2147651 ],[324 126]
RandomForest Classifier 400 trees,0.6455173076923078,[0.73953488 0.7       ],[0.98148148 0.11111111],[0.84350133 0.19178082],[324 126]
SVM Classifier,0.4539115384615385,[0.71937639 0.        ],[0.99691358 0.        ],[0.83570505 0.        ],[324 126]
LogisticRegression,0.6164807692307692,[0.72247706 0.35714286],[0.97222222 0.03968254],[0.82894737 0.07142857],[324 126]
